# Of Points;Part1;Part2
0;0;0
500;170;77
1000;680;127
1500;1550;203
2000;2468;203
2500;3306;344
3000;4232;351
3500;7514;627
4000;9322;455
4500;13400;398
5000;10125;379
5500;12923;609
6000;14258;463
6500;18708;484
7000;19675;534
7500;24125;727
8000;27585;903
8500;29626;792
9000;33835;769
9500;40375;706
10000;40216;931
10500;46311;992
11000;53043;871
11500;59577;913
12000;64714;1091
12500;66325;1067
13000;70587;1036
13500;71874;1107
14000;79924;1128
14500;88046;1138
15000;80607;1169
15500;95946;1223
16000;104815;1294
16500;111017;1320
17000;117923;1372
17500;122559;1418
18000;128164;1442
18500;134348;1610
19000;153816;1533
19500;154668;2014
20000;161047;1604
20500;163927;1791
21000;165810;1977
21500;172732;1815
22000;198124;1828
22500;187838;1929
23000;186602;1792
23500;195377;1913
24000;208571;1922
24500;224999;2084
25000;231974;2077
25500;244271;2050
26000;240273;2138
26500;259633;2368
27000;272455;2232
27500;289649;2312
28000;317641;3403
28500;303835;2495
29000;292268;2426
29500;306102;5925
30000;333619;2700
30500;333881;2668
31000;337035;2655
31500;351467;2694
32000;353754;2863
32500;381248;2805
33000;402238;2815
33500;393101;2884
34000;414021;2837
34500;410790;2953
35000;430405;3045
35500;464602;2979
36000;482704;3098
36500;512318;3134
37000;485834;3068
37500;496885;3236
38000;573886;3286
38500;511279;3259
39000;530705;3396
39500;550753;3302
40000;588195;3536
40500;582184;3560
41000;598061;3440
41500;597673;3481
42000;624385;3533
42500;649894;3792
43000;635149;3576
43500;648785;3790
44000;660418;7827
44500;685903;3820
45000;679508;3773
45500;706483;3998
46000;714968;3930
46500;735146;4103
47000;768141;3875
47500;774392;4139
48000;792730;4092
48500;798588;4135
49000;838074;4226
49500;847272;4412
50000;871579;4289
